Mois,Month,Year,Accident
1,1,1973,9007
2,2,1973,8106
3,3,1973,8928
4,4,1973,9137
5,5,1973,10017
6,6,1973,10826
7,7,1973,11317
8,8,1973,10744
9,9,1973,9713
10,10,1973,9938
11,11,1973,9161
12,12,1973,8927
13,1,1974,7750
14,2,1974,6981
15,3,1974,8038
16,4,1974,8422
17,5,1974,8714
18,6,1974,9512
19,7,1974,10120
20,8,1974,9823
21,9,1974,8743
22,10,1974,9129
23,11,1974,8710
24,12,1974,8680
25,1,1975,8162
26,2,1975,7306
27,3,1975,8124
28,4,1975,7870
29,5,1975,9387
30,6,1975,9556
31,7,1975,10093
32,8,1975,9620
33,9,1975,8285
34,10,1975,8433
35,11,1975,8160
36,12,1975,8034
37,1,1976,7717
38,2,1976,7461
39,3,1976,7776
40,4,1976,7925
41,5,1976,8634
42,6,1976,8945
43,7,1976,10078
44,8,1976,9179
45,9,1976,8037
46,10,1976,8488
47,11,1976,7874
48,12,1976,8647
49,1,1977,7792
50,2,1977,6957
51,3,1977,7726
52,4,1977,8106
53,5,1977,8890
54,6,1977,9299
55,7,1977,10625
56,8,1977,9302
57,9,1977,8314
58,10,1977,8850
59,11,1977,8265
60,12,1977,8796
61,1,1978,7836
62,2,1978,6892
63,3,1978,7791
64,4,1978,8129
65,5,1978,9115
66,6,1978,9434
67,7,1978,10484
68,8,1978,9827
69,9,1978,9110
70,10,1978,9070
71,11,1978,8633
72,12,1978,9240
